Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,1,1,0.5969,0.0,0.5969,0.0155,0.6124,100.066,119.42,42.231,42.35,161.77,1,1,0.887,1.0,-,"[  1.  10.   1.   6.   1.   0.   1.   0.  11.   0. 175.  -2.  10. 502.
   0.   2.]","[  0.  10.   1.   6.   1.   0.   1.   0.  11.   0. 175.  -2.  10. 502.
   0.   2.]"
2,unsat,1,1,0,0,0,0.9457,0.0,0.9457,0,0.9457,0.019,0.26,0,0.0,0.26,0,0,0.887,1.0,-,,
3,unknown,1,1,1,1,0,0.5271,0.0,0.5271,0.1938,0.7209,100.22,121.98,100.145,100.25,222.23,0,0,0.887,1.0,-,,
4,unsat,1,2,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.02,0.25,0,0.0,0.25,0,0,0.887,1.0,-,,
5,unsat,1,3,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.021,0.26,0,0.0,0.26,0,0,0.887,1.0,-,,
6,sat,2,3,1,0,0,0.8992,0.0,0.8992,0,0.8992,2.981,3.75,0,0.0,3.75,1,1,0.887,1.0,-,"[  1.   5.   2.   6.   0.   0.   0.   0.   9.   5. 899.  -2.  39. 904.
   7.   2.]","[  0.   5.   2.   6.   0.   0.   0.   0.   9.   5. 899.  -2.  39. 904.
   7.   2.]"
7,unsat,2,4,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.021,0.26,0,0.0,0.26,0,0,0.887,1.0,-,,
8,unsat,2,5,1,0,0,0.9767,0.0,0.9767,0,0.9767,0.012,0.24,0,0.0,0.24,0,0,0.887,1.0,-,,
9,sat,3,5,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.036,0.27,0,0.0,0.27,1,1,0.887,1.0,-,"[0.00e+00 0.00e+00 2.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00 1.00e+00
 7.00e+00 6.00e+00 1.10e+03 1.00e+00 4.70e+01 1.15e+02 6.00e+00 0.00e+00]","[1.00e+00 0.00e+00 2.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00 1.00e+00
 7.00e+00 6.00e+00 1.10e+03 1.00e+00 4.70e+01 1.15e+02 6.00e+00 0.00e+00]"
10,unsat,3,6,1,0,0,0.969,0.0,0.969,0,0.969,0.094,0.47,0,0.0,0.47,0,0,0.887,1.0,-,,
11,unsat,3,7,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.019,0.26,0,0.0,0.26,0,0,0.887,1.0,-,,
12,unsat,3,8,1,0,0,0.9612,0.0,0.9612,0,0.9612,0.281,0.66,0,0.0,0.66,0,0,0.887,1.0,-,,
13,unsat,3,9,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.02,0.25,0,0.0,0.25,0,0,0.887,1.0,-,,
14,sat,4,9,1,0,0,0.8992,0.0,0.8992,0,0.8992,2.7,3.09,0,0.0,3.09,1,1,0.887,1.0,-,"[  0.   0.   0.   4.   0.   1.   1.   1.   1.   3. 604.   0.  50. 392.
   3.   0.]","[  1.   0.   0.   4.   0.   1.   1.   1.   1.   3. 604.   0.  50. 392.
   3.   0.]"
15,unsat,4,10,1,0,0,0.9767,0.0,0.9767,0,0.9767,0.013,0.24,0,0.0,0.24,0,0,0.887,1.0,-,,
16,sat,5,10,1,0,0,0.8992,0.0,0.8992,0,0.8992,1.087,1.86,0,0.0,1.86,1,1,0.887,1.0,-,"[  1.  10.   2.   6.   0.   0.   1.   0.   0.   4. 587.  -3.  19. 900.
   5.   0.]","[  0.  10.   2.   6.   0.   0.   1.   0.   0.   4. 587.  -3.  19. 900.
   5.   0.]"
17,unsat,5,11,1,0,0,0.9612,0.0,0.9612,0,0.9612,0.231,0.61,0,0.0,0.61,0,0,0.887,1.0,-,,
18,sat,6,11,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.072,0.3,0,0.0,0.3,1,1,0.887,1.0,-,"[1.00e+00 0.00e+00 0.00e+00 4.00e+00 0.00e+00 1.00e+00 1.00e+00 0.00e+00
 8.00e+00 6.00e+00 4.40e+03 0.00e+00 1.00e+00 7.75e+02 7.00e+00 0.00e+00]","[0.00e+00 0.00e+00 0.00e+00 4.00e+00 0.00e+00 1.00e+00 1.00e+00 0.00e+00
 8.00e+00 6.00e+00 4.40e+03 0.00e+00 1.00e+00 7.75e+02 7.00e+00 0.00e+00]"
19,sat,7,11,1,1,1,0.7519,0.0,0.7519,0.2016,0.9535,100.505,114.43,3.222,3.26,117.68,1,1,0.887,1.0,-,"[  0.   7.   2.   6.   0.   1.   0.   0.   0.   6. 292.  -3.  29. 900.
   0.   2.]","[  1.   7.   2.   6.   0.   1.   0.   0.   0.   6. 292.  -3.  29. 900.
   0.   2.]"
20,sat,8,11,1,0,0,0.8992,0.0,0.8992,0,0.8992,6.439,7.2,0,0.0,7.2,1,1,0.887,1.0,-,"[  0.   4.   0.   4.   0.   1.   0.   1.  11.   5. 810.  -3.  48. 790.
   7.   1.]","[  1.   4.   0.   4.   0.   1.   0.   1.  11.   5. 810.  -3.  48. 790.
   7.   1.]"
21,sat,9,11,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.052,0.28,0,0.0,0.28,1,1,0.887,1.0,-,"[ 0.000e+00  1.000e+01  1.000e+00  6.000e+00  1.000e+00  1.000e+00
  1.000e+00  0.000e+00  4.000e+00  0.000e+00  2.277e+03 -1.000e+00
  1.000e+01  3.990e+02  7.000e+00  2.000e+00]","[ 1.000e+00  1.000e+01  1.000e+00  6.000e+00  1.000e+00  1.000e+00
  1.000e+00  0.000e+00  4.000e+00  0.000e+00  2.277e+03 -1.000e+00
  1.000e+01  3.990e+02  7.000e+00  2.000e+00]"
22,unsat,9,12,1,0,0,0.969,0.0,0.969,0,0.969,0.089,0.47,0,0.0,0.47,0,0,0.887,1.0,-,,
23,unsat,9,13,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.02,0.25,0,0.0,0.25,0,0,0.887,1.0,-,,
24,unsat,9,14,1,0,0,0.9767,0.0,0.9767,0,0.9767,0.012,0.23,0,0.0,0.23,0,0,0.887,1.0,-,,
25,sat,10,14,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.047,0.27,0,0.0,0.27,1,1,0.887,1.0,-,"[0.000e+00 0.000e+00 2.000e+00 4.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 3.000e+00 6.000e+00 3.309e+03 1.000e+00 4.800e+01 5.070e+02
 0.000e+00 0.000e+00]","[1.000e+00 0.000e+00 2.000e+00 4.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 3.000e+00 6.000e+00 3.309e+03 1.000e+00 4.800e+01 5.070e+02
 0.000e+00 0.000e+00]"
26,unsat,10,15,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.02,0.25,0,0.0,0.25,0,0,0.887,1.0,-,,
27,sat,11,15,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.203,0.58,0,0.0,0.58,1,1,0.887,1.0,-,"[ 0.000e+00  6.000e+00  0.000e+00  4.000e+00  1.000e+00  1.000e+00
  1.000e+00  0.000e+00  8.000e+00  3.000e+00  3.282e+03 -3.000e+00
  1.000e+00  6.010e+02  7.000e+00  2.000e+00]","[ 1.000e+00  6.000e+00  0.000e+00  4.000e+00  1.000e+00  1.000e+00
  1.000e+00  0.000e+00  8.000e+00  3.000e+00  3.282e+03 -3.000e+00
  1.000e+00  6.010e+02  7.000e+00  2.000e+00]"
28,sat,12,15,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.234,0.61,0,0.0,0.61,1,1,0.887,1.0,-,"[ 1.e+00  7.e+00  0.e+00  6.e+00  0.e+00  0.e+00  0.e+00  1.e+00  1.e+01
  5.e+00  5.e+03 -3.e+00  2.e+00  9.e+02  6.e+00  2.e+00]","[ 0.e+00  7.e+00  0.e+00  6.e+00  0.e+00  0.e+00  0.e+00  1.e+00  1.e+01
  5.e+00  5.e+03 -3.e+00  2.e+00  9.e+02  6.e+00  2.e+00]"
29,unsat,12,16,1,0,0,0.9767,0.0,0.9767,0,0.9767,0.013,0.24,0,0.0,0.24,0,0,0.887,1.0,-,,
30,unsat,12,17,1,0,0,0.9767,0.0,0.9767,0,0.9767,0.013,0.25,0,0.0,0.25,0,0,0.887,1.0,-,,
31,sat,13,17,1,0,0,0.8992,0.0,0.8992,0,0.8992,7.822,8.6,0,0.0,8.6,1,1,0.887,1.0,-,"[  1.   0.   0.   6.   1.   1.   1.   1.   6.   6. 700.  -1.  31. 599.
   5.   1.]","[  0.   0.   0.   6.   1.   1.   1.   1.   6.   6. 700.  -1.  31. 599.
   5.   1.]"
32,sat,14,17,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.044,0.27,0,0.0,0.27,1,1,0.887,1.0,-,"[0.00e+00 0.00e+00 2.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00 0.00e+00
 0.00e+00 6.00e+00 3.90e+03 1.00e+00 7.00e+00 6.74e+02 0.00e+00 0.00e+00]","[1.00e+00 0.00e+00 2.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00 0.00e+00
 0.00e+00 6.00e+00 3.90e+03 1.00e+00 7.00e+00 6.74e+02 0.00e+00 0.00e+00]"
33,unsat,14,18,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.019,0.26,0,0.0,0.26,0,0,0.887,1.0,-,,
34,unsat,14,19,1,0,0,0.9767,0.0,0.9767,0,0.9767,0.016,0.76,0,0.0,0.76,0,0,0.887,1.0,-,,
35,unsat,14,20,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.019,0.26,0,0.0,0.26,0,0,0.887,1.0,-,,
36,sat,15,20,1,0,0,0.9147,0.0,0.9147,0,0.9147,1.983,3.26,0,0.0,3.26,1,1,0.887,1.0,-,"[1.000e+00 0.000e+00 2.000e+00 5.000e+00 1.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 2.000e+00 1.508e+03 1.000e+00 5.000e+01 9.990e+02
 6.000e+00 0.000e+00]","[0.000e+00 0.000e+00 2.000e+00 5.000e+00 1.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 2.000e+00 1.508e+03 1.000e+00 5.000e+01 9.990e+02
 6.000e+00 0.000e+00]"
37,unsat,15,21,1,0,0,0.9457,0.0,0.9457,0,0.9457,0.022,0.26,0,0.0,0.26,0,0,0.887,1.0,-,,
