Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.9109,0.0,0.9109,0,0.9109,20.865,21.72,0,0.0,21.72,1,1,0.8822,1.0,-,"[  0.   6.   2.   5.   0.   1.   1.   1.   0.   5. 185.  -3.  13. 543.
   2.   2.]","[  1.   6.   2.   5.   0.   1.   1.   1.   0.   5. 185.  -3.  13. 543.
   2.   2.]"
2,unsat,1,1,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
3,sat,2,1,0,1,1,0.8515,0.0,0.8515,0.0396,0.8911,100.024,101.96,59.901,59.96,161.93,1,1,0.8822,1.0,-,"[  0.   0.   2.   0.   1.   1.   0.   1.  11.   0. 301.  -1.  10.  93.
   7.   0.]","[  1.   0.   2.   0.   1.   1.   0.   1.  11.   0. 301.  -1.  10.  93.
   7.   0.]"
4,unsat,2,2,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.013,0.21,0,0.0,0.21,0,0,0.8822,1.0,-,,
5,unsat,2,3,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
6,sat,3,3,0,0,0,0.9703,0.0,0.9703,0,0.9703,0.61,1.01,0,0.0,1.01,1,1,0.8822,1.0,-,"[  0.   9.   2.   5.   0.   1.   1.   1.   0.   6. 800.  -1.  50. 905.
   7.   2.]","[  1.   9.   2.   5.   0.   1.   1.   1.   0.   6. 800.  -1.  50. 905.
   7.   2.]"
7,unsat,3,4,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
8,unsat,3,5,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.013,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
9,sat,4,5,0,0,0,0.9604,0.0,0.9604,0,0.9604,0.502,1.12,0,0.0,1.12,1,1,0.8822,1.0,-,"[0.000e+00 1.000e+01 1.000e+00 6.000e+00 1.000e+00 1.000e+00 1.000e+00
 1.000e+00 9.000e+00 0.000e+00 1.137e+03 1.000e+00 4.900e+01 1.260e+02
 7.000e+00 2.000e+00]","[1.000e+00 1.000e+01 1.000e+00 6.000e+00 1.000e+00 1.000e+00 1.000e+00
 1.000e+00 9.000e+00 0.000e+00 1.137e+03 1.000e+00 4.900e+01 1.260e+02
 7.000e+00 2.000e+00]"
10,unsat,4,6,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.011,0.4,0,0.0,0.4,0,0,0.8822,1.0,-,,
11,unsat,4,7,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
12,unsat,4,8,0,0,0,0.9703,0.0,0.9703,0,0.9703,0.144,0.54,0,0.0,0.54,0,0,0.8822,1.0,-,,
13,unsat,4,9,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
14,sat,5,9,0,0,0,0.9604,0.0,0.9604,0,0.9604,0.871,1.27,0,0.0,1.27,1,1,0.8822,1.0,-,"[  0.   0.   2.   0.   0.   1.   1.   1.  11.   0. 601.   1.   1. 390.
   6.   0.]","[  1.   0.   2.   0.   0.   1.   1.   1.  11.   0. 601.   1.   1. 390.
   6.   0.]"
15,unsat,5,10,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
16,sat,6,10,0,0,0,0.9604,0.0,0.9604,0,0.9604,0.846,1.26,0,0.0,1.26,1,1,0.8822,1.0,-,"[  0.   9.   1.   4.   0.   0.   0.   0.   3.   5. 570.  -2.  45. 901.
   3.   2.]","[  1.   9.   1.   4.   0.   0.   0.   0.   3.   5. 570.  -2.  45. 901.
   3.   2.]"
17,unsat,6,11,0,0,0,0.9604,0.0,0.9604,0,0.9604,0.969,1.58,0,0.0,1.58,0,0,0.8822,1.0,-,,
18,unsat,6,12,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
19,sat,7,12,0,0,0,0.9505,0.0,0.9505,0,0.9505,0.917,1.54,0,0.0,1.54,1,1,0.8822,1.0,-,"[  1.  10.   2.   6.   0.   1.   0.   0.   0.   6. 252.  -3.  27. 900.
   0.   2.]","[  0.  10.   2.   6.   0.   1.   0.   0.   0.   6. 252.  -3.  27. 900.
   0.   2.]"
20,sat,8,12,0,0,0,0.9703,0.0,0.9703,0,0.9703,0.368,0.56,0,0.0,0.56,1,1,0.8822,1.0,-,"[  0.  10.   2.   5.   0.   0.   1.   1.   0.   3. 822.   1.  47. 700.
   5.   2.]","[  1.  10.   2.   5.   0.   0.   1.   1.   0.   3. 822.   1.  47. 700.
   5.   2.]"
21,unsat,8,13,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.2,0,0.0,0.2,0,0,0.8822,1.0,-,,
22,unsat,8,14,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
23,unsat,8,15,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.2,0,0.0,0.2,0,0,0.8822,1.0,-,,
24,unsat,8,16,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
25,unsat,8,17,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
26,unsat,8,18,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
27,unsat,8,19,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
28,unsat,8,20,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
29,unsat,8,21,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
30,unsat,8,22,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
31,sat,9,22,0,0,0,0.9604,0.0,0.9604,0,0.9604,0.928,1.33,0,0.0,1.33,1,1,0.8822,1.0,-,"[  0.   0.   2.   0.   1.   1.   0.   1.  11.   2. 700.   1.   2. 501.
   6.   0.]","[  1.   0.   2.   0.   1.   1.   0.   1.  11.   2. 700.   1.   2. 501.
   6.   0.]"
32,unsat,9,23,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
33,unsat,9,24,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.19,0,0.0,0.19,0,0,0.8822,1.0,-,,
34,unsat,9,25,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
35,unsat,9,26,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
36,unsat,9,27,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.013,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
37,unsat,9,28,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
38,unsat,9,29,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.012,0.18,0,0.0,0.18,0,0,0.8822,1.0,-,,
