Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.4053,0.0,0.4053,0.1993,0.6047,102.5,291.04,101.646,102.62,393.66,0,0,0.8955,1.0,-,,
2,unsat,0,1,1,0,0,0.9734,0.0,0.9734,0,0.9734,0.044,2.94,0,0.0,2.94,0,0,0.8955,1.0,-,,
3,unknown,0,1,2,1,0,0.412,0.0,0.412,0.2259,0.6379,103.813,238.03,100.287,101.07,339.09,0,0,0.8955,1.0,-,,
4,unsat,0,2,2,0,0,0.9801,0.0,0.9801,0,0.9801,0.019,0.76,0,0.0,0.76,0,0,0.8955,1.0,-,,
5,unsat,0,3,2,0,0,0.9801,0.0,0.9801,0,0.9801,0.02,0.77,0,0.0,0.77,0,0,0.8955,1.0,-,,
6,sat,1,3,2,1,1,0.887,0.0,0.887,0.0266,0.9136,100.018,120.31,75.44,75.5,195.81,1,1,0.8955,1.0,-,"[  0.   0.   1.   0.   1.   1.   1.   0.   0.   5. 899.   1.  38. 906.
   1.   2.]","[  1.   0.   1.   0.   1.   1.   1.   0.   0.   5. 899.   1.  38. 906.
   1.   2.]"
7,unsat,1,4,2,0,0,0.9801,0.0,0.9801,0,0.9801,0.019,0.76,0,0.0,0.76,0,0,0.8955,1.0,-,,
8,unsat,1,5,2,0,0,0.9801,0.0,0.9801,0,0.9801,0.018,0.77,0,0.0,0.77,0,0,0.8955,1.0,-,,
9,unsat,1,6,2,0,0,0.9668,0.0,0.9668,0,0.9668,4.694,8.53,0,0.0,8.53,0,0,0.8955,1.0,-,,
10,unsat,1,7,2,0,0,0.9801,0.0,0.9801,0,0.9801,0.02,0.77,0,0.0,0.77,0,0,0.8955,1.0,-,,
11,unsat,1,8,2,0,0,0.9801,0.0,0.9801,0,0.9801,0.019,0.77,0,0.0,0.77,0,0,0.8955,1.0,-,,
12,unsat,1,9,2,0,0,0.9767,0.0,0.9767,0,0.9767,0.186,1.25,0,0.0,1.25,0,0,0.8955,1.0,-,,
13,unsat,1,10,2,0,0,0.9801,0.0,0.9801,0,0.9801,0.02,0.77,0,0.0,0.77,0,0,0.8955,1.0,-,,
14,unknown,1,10,3,1,0,0.5847,0.0,0.5847,0.2425,0.8272,101.078,248.34,100.292,100.52,348.86,0,0,0.8955,1.0,-,,
15,unsat,1,11,3,0,0,0.9801,0.0,0.9801,0,0.9801,0.02,0.77,0,0.0,0.77,0,0,0.8955,1.0,-,,
16,unknown,1,11,4,1,0,0.5216,0.0,0.5216,0.299,0.8206,100.2,276.3,100.051,100.2,376.49,0,0,0.8955,1.0,-,,
17,unsat,1,12,4,0,0,0.9801,0.0,0.9801,0,0.9801,0.019,0.76,0,0.0,0.76,0,0,0.8955,1.0,-,,
18,unsat,1,13,4,0,0,0.9801,0.0,0.9801,0,0.9801,0.019,0.76,0,0.0,0.76,0,0,0.8955,1.0,-,,
19,unknown,1,13,5,1,0,0.5216,0.0,0.5216,0.3023,0.8239,101.519,265.12,100.132,100.34,365.46,0,0,0.8955,1.0,-,,
