Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.6915,0.0,0.6915,0.209,0.9005,100.04,184.54,100.084,100.21,284.74,0,0,0.8486,1.0,-,,
2,unknown,0,0,2,1,0,0.5771,0.0,0.5771,0.3134,0.8905,100.107,221.92,100.047,100.17,322.09,0,0,0.8486,1.0,-,,
3,unknown,0,0,3,1,0,0.5274,0.0,0.5274,0.1294,0.6567,100.253,221.33,100.861,101.27,322.6,0,0,0.8486,1.0,-,,
4,unknown,0,0,4,1,0,0.9254,0.0,0.9254,0.0199,0.9453,100.013,106.96,100.077,100.15,207.1,0,0,0.8486,1.0,-,,
5,sat,1,0,4,1,1,0.9204,0.005,0.9254,0.01,0.9353,100.074,106.79,57.995,58.08,164.87,1,1,0.8486,1.0,-,[89.  0. 10.  6.  3. 11.  0.  0.  1. 10.  0. 98.  0.],[89.  0. 10.  6.  3. 11.  0.  0.  0. 10.  0. 98.  0.]
6,unknown,1,0,5,1,0,0.8955,0.0,0.8955,0.0199,0.9154,100.325,104.1,100.082,100.19,204.29,0,0,0.8486,1.0,-,,
7,unknown,1,0,6,1,0,0.9005,0.0,0.9005,0.0348,0.9353,100.295,114.38,100.077,100.16,214.54,0,0,0.8486,1.0,-,,
8,unknown,1,0,7,1,0,0.8905,0.0,0.8905,0.0348,0.9254,100.144,115.91,100.146,100.24,216.15,0,0,0.8486,1.0,-,,
