Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.8039,0.0,0.8039,0,0.8039,7.272,7.92,0,0.0,7.92,1,1,0.8452,1.0,-,[59.  6.  9. 11.  3.  9.  2.  0.  1.  0. 10. 80. 30.],[59.  6.  9. 11.  3.  9.  2.  0.  0.  0. 10. 80. 30.]
2,sat,2,0,0,0,0,0.8039,0.0,0.8039,0,0.8039,11.39,11.9,0,0.0,11.9,1,1,0.8452,1.0,-,[60.  6.  9.  1.  0.  0.  1.  0.  1.  3.  0. 61. 40.],[60.  6.  9.  1.  0.  0.  1.  0.  0.  3.  0. 61. 40.]
3,sat,3,0,0,0,0,0.8431,0.0,0.8431,0,0.8431,90.954,91.45,0,0.0,91.45,1,1,0.8452,1.0,-,[69.  6.  9.  5.  0. 10.  5.  4.  0. 19.  9. 83. 38.],[69.  6.  9.  5.  0. 10.  5.  4.  1. 19.  9. 83. 38.]
4,sat,4,0,0,0,0,0.8235,0.0,0.8235,0,0.8235,65.176,65.67,0,0.0,65.67,1,1,0.8452,1.0,-,[34.  6.  9. 11.  0.  1.  1.  2.  1. 13. 10. 82. 40.],[34.  6.  9. 11.  0.  1.  1.  2.  0. 13. 10. 82. 40.]
5,sat,5,0,0,0,0,0.8627,0.0,0.8627,0,0.8627,8.111,8.45,0,0.0,8.45,1,1,0.8452,1.0,-,[70.  1.  2. 12.  1.  2.  0.  0.  1.  9.  0. 82. 21.],[70.  1.  2. 12.  1.  2.  0.  0.  0.  9.  0. 82. 21.]
6,unknown,5,0,1,1,0,0.5882,0.0,0.5882,0.1569,0.7451,100.05,101.77,100.088,100.17,201.95,0,0,0.8452,1.0,-,,
7,sat,6,0,1,0,0,0.8039,0.0,0.8039,0,0.8039,10.484,10.85,0,0.0,10.85,1,1,0.8452,1.0,-,[91.  5.  0. 12.  1.  0.  0.  0.  0.  9.  0. 51.  3.],[91.  5.  0. 12.  1.  0.  0.  0.  1.  9.  0. 51.  3.]
8,unknown,6,0,2,1,0,0.5882,0.0,0.5882,0.1569,0.7451,100.209,101.65,100.14,100.22,201.87,0,0,0.8452,1.0,-,,
9,sat,7,0,2,0,0,0.8235,0.0,0.8235,0,0.8235,19.021,19.52,0,0.0,19.52,1,1,0.8452,1.0,-,[33.  6. 15. 13.  0.  0.  5.  4.  0. 13.  4. 82. 29.],[33.  6. 15. 13.  0.  0.  5.  4.  1. 13.  4. 82. 29.]
10,sat,8,0,2,1,1,0.7255,0.0,0.7255,0.098,0.8235,100.042,101.02,14.67,14.73,115.76,1,1,0.8452,1.0,-,[ 30.   0.  14.   2.   1.   1.   1.   1.   1.   9.  19. 100.  13.],[ 30.   0.  14.   2.   1.   1.   1.   1.   0.   9.  19. 100.  13.]
11,sat,9,0,2,1,1,0.7451,0.0,0.7451,0.0196,0.7647,100.03,100.55,91.112,91.19,191.74,1,1,0.8452,1.0,-,[99.  0. 10.  4.  6. 13.  5.  0.  1. 10.  6.  3. 11.],[99.  0. 10.  4.  6. 13.  5.  0.  0. 10.  6.  3. 11.]
12,sat,10,0,2,0,0,0.8627,0.0,0.8627,0,0.8627,51.343,51.54,0,0.0,51.54,1,1,0.8452,1.0,-,[57.  6. 11. 14.  0.  0.  0.  3.  0. 13.  3. 61. 40.],[57.  6. 11. 14.  0.  0.  0.  3.  1. 13.  3. 61. 40.]
13,sat,11,0,2,0,0,0.7647,0.0,0.7647,0,0.7647,9.0,9.8,0,0.0,9.8,1,1,0.8452,1.0,-,[80.  2. 10. 14.  6.  0.  0.  0.  1.  0.  8. 21. 29.],[80.  2. 10. 14.  6.  0.  0.  0.  0.  0.  8. 21. 29.]
14,sat,12,0,2,1,1,0.7647,0.0,0.7647,0.0392,0.8039,100.094,100.61,82.771,82.84,183.45,1,1,0.8452,1.0,-,[30.  0.  5.  3.  6. 10.  5.  3.  1.  9. 19. 49. 40.],[30.  0.  5.  3.  6. 10.  5.  3.  0.  9. 19. 49. 40.]
15,sat,13,0,2,0,0,0.8627,0.0,0.8627,0,0.8627,62.49,62.84,0,0.0,62.84,1,1,0.8452,1.0,-,[96.  1.  9.  5.  6.  9.  0.  0.  0.  0.  9. 80. 39.],[96.  1.  9.  5.  6.  9.  0.  0.  1.  0.  9. 80. 39.]
16,sat,14,0,2,1,1,0.7255,0.0,0.7255,0.0588,0.7843,100.02,100.85,91.645,91.72,192.57,1,1,0.8452,1.0,-,[10.  6.  7. 11.  6. 11.  3.  3.  1. 10. 11. 60. 39.],[10.  6.  7. 11.  6. 11.  3.  3.  0. 10. 11. 60. 39.]
17,sat,15,0,2,0,0,0.7059,0.0,0.7059,0,0.7059,73.638,74.16,0,0.0,74.16,1,1,0.8452,1.0,-,[100.   0.   9.   3.   0.  12.   0.   3.   1.   9.   9.   7.   0.],[100.   0.   9.   3.   0.  12.   0.   3.   0.   9.   9.   7.   0.]
18,sat,16,0,2,0,0,0.8627,0.0,0.8627,0,0.8627,9.092,9.29,0,0.0,9.29,1,1,0.8452,1.0,-,[42.  6. 11.  7.  2. 10.  2.  4.  0. 16.  9. 71. 40.],[42.  6. 11.  7.  2. 10.  2.  4.  1. 16.  9. 71. 40.]
19,sat,17,0,2,0,0,0.8627,0.0,0.8627,0,0.8627,9.038,9.24,0,0.0,9.24,1,1,0.8452,1.0,-,[80.  5.  5.  2.  2. 10.  5.  1.  1. 19. 19. 82. 40.],[80.  5.  5.  2.  2. 10.  5.  1.  0. 19. 19. 82. 40.]
20,sat,18,0,2,0,0,0.7843,0.0,0.7843,0,0.7843,61.207,61.86,0,0.0,61.86,1,1,0.8452,1.0,-,[55.  0.  0.  4.  6.  3.  0.  0.  0.  9.  1. 51. 10.],[55.  0.  0.  4.  6.  3.  0.  0.  1.  9.  1. 51. 10.]
21,unknown,18,0,3,1,0,0.6863,0.0,0.6863,0.0588,0.7451,100.118,100.8,100.045,100.13,200.93,0,0,0.8452,1.0,-,,
22,sat,19,0,3,0,0,0.8431,0.0,0.8431,0,0.8431,5.213,5.42,0,0.0,5.42,1,1,0.8452,1.0,-,[60.  6. 15.  1.  6. 13.  2.  3.  0. 16. 19. 22. 40.],[60.  6. 15.  1.  6. 13.  2.  3.  1. 16. 19. 22. 40.]
23,sat,20,0,3,1,1,0.7843,0.0,0.7843,0.0,0.7843,100.013,100.52,17.08,17.16,117.68,1,1,0.8452,1.0,-,[80.  5.  2.  9.  2.  0.  0.  0.  0.  9.  9. 31. 15.],[80.  5.  2.  9.  2.  0.  0.  0.  1.  9.  9. 31. 15.]
