Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.56,0.0,0.56,0,0.56,51.657,52.12,0,0.0,52.12,1,1,0.8524,1.0,-,[51.  0.  8. 11.  6.  0.  0.  1.  1.  0. 19. 73. 39.],[51.  0.  8. 11.  6.  0.  0.  1.  0.  0. 19. 73. 39.]
2,unknown,1,0,1,1,0,0.48,0.0,0.48,0.08,0.56,100.042,100.48,100.056,100.11,200.59,0,0,0.8524,1.0,-,,
3,unsat,1,1,1,0,0,0.84,0.0,0.84,0,0.84,0.177,0.36,0,0.0,0.36,0,0,0.8524,1.0,-,,
4,unsat,1,2,1,0,0,0.84,0.0,0.84,0,0.84,0.091,0.28,0,0.0,0.28,0,0,0.8524,1.0,-,,
5,sat,2,2,1,0,0,0.56,0.0,0.56,0,0.56,82.849,83.26,0,0.0,83.26,1,1,0.8524,1.0,-,[76.  6.  0. 11.  3.  0.  0.  0.  1.  0.  9. 81. 20.],[76.  6.  0. 11.  3.  0.  0.  0.  0.  0.  9. 81. 20.]
6,sat,3,2,1,1,1,0.36,0.0,0.36,0.28,0.64,100.05,100.69,28.769,28.82,129.51,1,1,0.8524,1.0,-,[25.  1.  4.  1.  4.  4.  1.  0.  1.  2.  0. 52.  8.],[25.  1.  4.  1.  4.  4.  1.  0.  0.  2.  0. 52.  8.]
7,unknown,3,2,2,1,0,0.56,0.0,0.56,0.04,0.6,100.067,100.44,100.041,100.1,200.53,0,0,0.8524,1.0,-,,
8,unknown,3,2,3,1,0,0.4,0.0,0.4,0.16,0.56,100.071,100.54,100.077,100.14,200.68,0,0,0.8524,1.0,-,,
9,unsat,3,3,3,0,0,0.84,0.0,0.84,0,0.84,0.072,0.3,0,0.0,0.3,0,0,0.8524,1.0,-,,
10,sat,4,3,3,0,0,0.48,0.0,0.48,0,0.48,98.141,98.7,0,0.0,98.7,1,1,0.8524,1.0,-,[31.  6. 10.  1.  6.  6.  1.  0.  0.  2. 14. 91. 19.],[31.  6. 10.  1.  6.  6.  1.  0.  1.  2. 14. 91. 19.]
11,unsat,4,4,3,0,0,0.8,0.0,0.8,0,0.8,0.651,0.83,0,0.0,0.83,0,0,0.8524,1.0,-,,
12,unsat,4,5,3,0,0,0.84,0.0,0.84,0,0.84,0.074,0.24,0,0.0,0.24,0,0,0.8524,1.0,-,,
13,unknown,4,5,4,1,0,0.48,0.0,0.48,0.12,0.6,100.116,100.58,100.02,100.07,200.66,0,0,0.8524,1.0,-,,
14,sat,5,5,4,1,1,0.4,0.0,0.4,0.16,0.56,100.012,100.55,42.314,42.38,142.93,1,1,0.8524,1.0,-,[31.  4.  9. 10.  0. 10.  5.  4.  1.  1. 10. 41. 40.],[31.  4.  9. 10.  0. 10.  5.  4.  0.  1. 10. 41. 40.]
15,unknown,5,5,5,1,0,0.44,0.0,0.44,0.16,0.6,100.01,100.57,100.07,100.13,200.69,0,0,0.8524,1.0,-,,
16,unsat,5,6,5,0,0,0.8,0.0,0.8,0,0.8,0.538,0.77,0,0.0,0.77,0,0,0.8524,1.0,-,,
17,unknown,5,6,6,1,0,0.36,0.0,0.36,0.16,0.52,100.062,100.5,100.068,100.14,200.64,0,0,0.8524,1.0,-,,
18,unsat,5,7,6,0,0,0.84,0.0,0.84,0,0.84,0.142,0.3,0,0.0,0.3,0,0,0.8524,1.0,-,,
19,unsat,5,8,6,0,0,0.8,0.0,0.8,0,0.8,0.27,0.44,0,0.0,0.44,0,0,0.8524,1.0,-,,
20,unknown,5,8,7,1,0,0.4,0.0,0.4,0.2,0.6,100.009,100.51,100.013,100.07,200.57,0,0,0.8524,1.0,-,,
