Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.7,0.0,0.7,0,0.7,2.108,2.27,0,0.0,2.27,1,1,0.7067,1.0,-,"[2.0000e+00 1.7000e+01 2.0000e+00 9.0000e+00 1.5009e+04 2.0000e+00
 2.0000e+00 4.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 2.0000e+00 2.0000e+00 2.0000e+00 3.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 1.0000e+00]","[2.0000e+00 1.7000e+01 2.0000e+00 9.0000e+00 1.5009e+04 2.0000e+00
 2.0000e+00 4.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00
 2.0000e+00 2.0000e+00 2.0000e+00 3.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 1.0000e+00]"
2,sat,2,0,0,0,0,0.7,0.0,0.7,0,0.7,0.139,0.29,0,0.0,0.29,1,1,0.7067,1.0,-,"[0.0e+00 0.0e+00 0.0e+00 9.0e+00 1.3e+04 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 0.0e+00 2.0e+00 2.0e+00 3.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]","[0.0e+00 0.0e+00 0.0e+00 9.0e+00 1.3e+04 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 3.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]"
3,sat,3,0,0,0,0,0.7,0.0,0.7,0,0.7,1.429,1.58,0,0.0,1.58,1,1,0.7067,1.0,-,"[2.000e+00 7.700e+01 1.000e+00 6.000e+00 5.305e+03 2.000e+00 2.000e+00
 1.000e+00 2.000e+00 3.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+00
 4.000e+00 2.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00]","[2.000e+00 7.700e+01 1.000e+00 6.000e+00 5.305e+03 2.000e+00 2.000e+00
 1.000e+00 2.000e+00 3.000e+00 0.000e+00 1.000e+00 0.000e+00 2.000e+00
 4.000e+00 2.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00]"
4,sat,4,0,0,0,0,0.7,0.0,0.7,0,0.7,0.365,0.52,0,0.0,0.52,1,1,0.7067,1.0,-,"[2.0e+00 6.4e+01 0.0e+00 9.0e+00 7.0e+03 2.0e+00 0.0e+00 1.0e+00 0.0e+00
 1.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]","[2.0e+00 6.4e+01 0.0e+00 9.0e+00 7.0e+03 2.0e+00 0.0e+00 1.0e+00 0.0e+00
 1.0e+00 0.0e+00 0.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]"
5,sat,5,0,0,0,0,0.7,0.0,0.7,0,0.7,0.303,0.47,0,0.0,0.47,1,1,0.7067,1.0,-,"[2.0e+00 0.0e+00 2.0e+00 9.0e+00 1.9e+04 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]","[2.0e+00 0.0e+00 2.0e+00 9.0e+00 1.9e+04 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 0.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]"
6,sat,6,0,0,0,0,0.7,0.0,0.7,0,0.7,0.29,0.45,0,0.0,0.45,1,1,0.7067,1.0,-,"[2.00e+00 0.00e+00 2.00e+00 9.00e+00 1.86e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 1.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 1.00e+00 1.00e+00]","[2.00e+00 0.00e+00 2.00e+00 9.00e+00 1.86e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 0.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 1.00e+00 1.00e+00]"
7,sat,7,0,0,0,0,0.7,0.0,0.7,0,0.7,1.26,1.42,0,0.0,1.42,1,1,0.7067,1.0,-,"[2.0e+00 0.0e+00 1.0e+00 0.0e+00 5.7e+03 0.0e+00 0.0e+00 4.0e+00 0.0e+00
 1.0e+00 1.0e+00 1.0e+00 0.0e+00 0.0e+00 4.0e+00 1.0e+00 1.0e+00 1.0e+00
 0.0e+00 0.0e+00]","[2.0e+00 0.0e+00 1.0e+00 0.0e+00 5.7e+03 0.0e+00 0.0e+00 4.0e+00 0.0e+00
 1.0e+00 1.0e+00 0.0e+00 0.0e+00 0.0e+00 4.0e+00 1.0e+00 1.0e+00 1.0e+00
 0.0e+00 0.0e+00]"
8,sat,8,0,0,0,0,0.7,0.0,0.7,0,0.7,0.3,0.52,0,0.0,0.52,1,1,0.7067,1.0,-,"[2.00e+00 0.00e+00 2.00e+00 9.00e+00 1.93e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 0.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 1.00e+00 1.00e+00]","[2.00e+00 0.00e+00 2.00e+00 9.00e+00 1.93e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 1.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 1.00e+00 1.00e+00]"
9,sat,9,0,0,0,0,0.7,0.0,0.7,0,0.7,1.993,2.2,0,0.0,2.2,1,1,0.7067,1.0,-,"[0.0e+00 2.1e+01 2.0e+00 8.0e+00 5.2e+03 0.0e+00 0.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 0.0e+00 0.0e+00 1.0e+00 4.0e+00 2.0e+00 1.0e+00 0.0e+00
 0.0e+00 1.0e+00]","[0.0e+00 2.1e+01 2.0e+00 8.0e+00 5.2e+03 0.0e+00 0.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 0.0e+00 1.0e+00 4.0e+00 2.0e+00 1.0e+00 0.0e+00
 0.0e+00 1.0e+00]"
10,sat,10,0,0,0,0,0.7,0.0,0.7,0,0.7,1.313,1.48,0,0.0,1.48,1,1,0.7067,1.0,-,"[2.0e+00 8.0e+01 2.0e+00 0.0e+00 6.9e+03 2.0e+00 1.0e+00 1.0e+00 0.0e+00
 3.0e+00 0.0e+00 0.0e+00 1.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]","[2.0e+00 8.0e+01 2.0e+00 0.0e+00 6.9e+03 2.0e+00 1.0e+00 1.0e+00 0.0e+00
 3.0e+00 0.0e+00 1.0e+00 1.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]"
