Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,1,1,0.8218,0.0,0.8218,0.0495,0.8713,100.012,101.95,21.115,21.22,123.17,1,1,0.7467,1.0,-,"[2.0000e+00 5.7000e+01 0.0000e+00 9.0000e+00 1.5059e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 2.0000e+00 2.0000e+00 3.0000e+00 0.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 0.0000e+00]","[2.0000e+00 5.7000e+01 0.0000e+00 9.0000e+00 1.5059e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00
 2.0000e+00 2.0000e+00 3.0000e+00 0.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 0.0000e+00]"
2,sat,2,0,0,1,1,0.8218,0.0,0.8218,0.0495,0.8713,100.036,101.97,48.175,48.28,150.25,1,1,0.7467,1.0,-,"[0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 1.3085e+04 2.0000e+00
 0.0000e+00 1.0000e+00 1.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 1.0000e+00 2.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 0.0000e+00]","[0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 1.3085e+04 2.0000e+00
 0.0000e+00 1.0000e+00 1.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 0.0000e+00 1.0000e+00 2.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 0.0000e+00]"
3,unknown,2,0,1,1,0,0.802,0.0,0.802,0.0396,0.8416,100.024,101.59,100.048,100.17,201.76,0,0,0.7467,1.0,-,,
4,unknown,2,0,2,1,0,0.7921,0.0,0.7921,0.0693,0.8614,100.026,102.58,100.022,100.14,202.73,0,0,0.7467,1.0,-,,
5,sat,3,0,2,0,0,0.8416,0.0,0.8416,0,0.8416,57.905,59.25,0,0.0,59.25,1,1,0.7467,1.0,-,"[2.0e+00 0.0e+00 0.0e+00 0.0e+00 1.9e+04 0.0e+00 2.0e+00 1.0e+00 1.0e+00
 1.0e+00 0.0e+00 1.0e+00 1.0e+00 1.0e+00 1.0e+00 0.0e+00 1.0e+00 1.0e+00
 1.0e+00 0.0e+00]","[2.0e+00 0.0e+00 0.0e+00 0.0e+00 1.9e+04 0.0e+00 2.0e+00 1.0e+00 1.0e+00
 1.0e+00 0.0e+00 0.0e+00 1.0e+00 1.0e+00 1.0e+00 0.0e+00 1.0e+00 1.0e+00
 1.0e+00 0.0e+00]"
6,unknown,3,0,3,1,0,0.8416,0.0,0.8416,0.0297,0.8713,100.076,101.33,100.054,100.15,201.48,0,0,0.7467,1.0,-,,
7,unknown,3,0,4,1,0,0.8119,0.0,0.8119,0.0495,0.8614,100.041,101.95,100.039,100.14,202.09,0,0,0.7467,1.0,-,,
8,unknown,3,0,5,1,0,0.8416,0.0,0.8416,0.0297,0.8713,100.072,101.3,100.021,100.13,201.43,0,0,0.7467,1.0,-,,
9,unknown,3,0,6,1,0,0.802,0.0,0.802,0.0495,0.8515,100.01,101.89,100.1,100.21,202.1,0,0,0.7467,1.0,-,,
10,unknown,3,0,7,1,0,0.7921,0.0,0.7921,0.0792,0.8713,100.018,102.86,100.034,100.13,202.99,0,0,0.7467,1.0,-,,
11,unknown,3,0,8,1,0,0.7921,0.0,0.7921,0.0495,0.8416,100.05,101.95,100.02,100.16,202.11,0,0,0.7467,1.0,-,,
