Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.8431,0.0,0.8431,0,0.8431,5.009,5.64,0,0.0,5.64,1,1,0.8452,1.0,-,[50.  6.  8. 12.  0.  0.  5.  4.  1.  9.  9. 81. 40.],[50.  6.  8. 12.  0.  0.  5.  4.  0.  9.  9. 81. 40.]
2,sat,2,0,0,0,0,0.8235,0.0,0.8235,0,0.8235,6.344,6.83,0,0.0,6.83,1,1,0.8452,1.0,-,[60.  6.  0. 11.  0.  1.  0.  0.  0.  9.  2. 61. 13.],[60.  6.  0. 11.  0.  1.  0.  0.  1.  9.  2. 61. 13.]
3,sat,3,0,0,1,1,0.7255,0.0,0.7255,0.0588,0.7843,100.111,100.78,94.038,94.12,194.89,1,1,0.8452,1.0,-,[20.  2.  0.  2.  0.  0.  5.  4.  0.  7. 19. 51. 40.],[20.  2.  0.  2.  0.  0.  5.  4.  1.  7. 19. 51. 40.]
4,sat,4,0,0,0,0,0.8431,0.0,0.8431,0,0.8431,5.001,5.52,0,0.0,5.52,1,1,0.8452,1.0,-,[80.  6.  9. 11.  4. 10.  4.  4.  1. 15. 10. 93. 19.],[80.  6.  9. 11.  4. 10.  4.  4.  0. 15. 10. 93. 19.]
5,sat,5,0,0,0,0,0.8235,0.0,0.8235,0,0.8235,18.86,19.36,0,0.0,19.36,1,1,0.8452,1.0,-,[ 89.   3.  13.   9.   2.  10.   1.   3.   0.  10.   5. 100.   9.],[ 89.   3.  13.   9.   2.  10.   1.   3.   1.  10.   5. 100.   9.]
6,sat,6,0,0,1,1,0.7451,0.0,0.7451,0.0392,0.7843,100.049,100.59,81.794,81.87,182.46,1,1,0.8452,1.0,-,[98.  6. 15. 11.  5. 10.  0.  1.  1. 11.  1.  1.  9.],[98.  6. 15. 11.  5. 10.  0.  1.  0. 11.  1.  1.  9.]
7,sat,7,0,0,0,0,0.8039,0.0,0.8039,0,0.8039,93.013,93.23,0,0.0,93.23,1,1,0.8452,1.0,-,[39.  5.  9. 11.  3. 12.  5.  4.  1. 10.  1. 40. 25.],[39.  5.  9. 11.  3. 12.  5.  4.  0. 10.  1. 40. 25.]
8,sat,8,0,0,0,0,0.7059,0.0,0.7059,0,0.7059,28.661,29.5,0,0.0,29.5,1,1,0.8452,1.0,-,[47.  6. 15. 11.  6. 10.  0.  4.  1. 10.  3. 20. 19.],[47.  6. 15. 11.  6. 10.  0.  4.  0. 10.  3. 20. 19.]
9,unknown,8,0,1,1,0,0.7451,0.0,0.7451,0.0196,0.7647,100.124,100.64,100.03,100.11,200.75,0,0,0.8452,1.0,-,,
10,sat,9,0,1,0,0,0.8039,0.0,0.8039,0,0.8039,22.817,23.02,0,0.0,23.02,1,1,0.8452,1.0,-,[30.  5.  9. 11.  6.  0.  1.  4.  0. 11.  7. 33. 40.],[30.  5.  9. 11.  6.  0.  1.  4.  1. 11.  7. 33. 40.]
11,sat,10,0,1,0,0,0.8627,0.0,0.8627,0,0.8627,1.714,1.9,0,0.0,1.9,1,1,0.8452,1.0,-,[99.  6. 15.  4.  6.  0.  5.  3.  0. 18. 10. 20. 40.],[99.  6. 15.  4.  6.  0.  5.  3.  1. 18. 10. 20. 40.]
12,sat,11,0,1,0,0,0.7451,0.0,0.7451,0,0.7451,20.475,21.13,0,0.0,21.13,1,1,0.8452,1.0,-,[93.  6.  9. 11.  6.  0.  0.  2.  1. 10. 10. 30.  2.],[93.  6.  9. 11.  6.  0.  0.  2.  0. 10. 10. 30.  2.]
13,sat,12,0,1,0,0,0.8039,0.0,0.8039,0,0.8039,9.586,10.23,0,0.0,10.23,1,1,0.8452,1.0,-,[82.  0. 12. 12.  6. 11.  0.  0.  0.  0.  5. 41. 39.],[82.  0. 12. 12.  6. 11.  0.  0.  1.  0.  5. 41. 39.]
14,unknown,12,0,2,1,0,0.7059,0.0,0.7059,0.0588,0.7647,100.064,100.73,100.031,100.11,200.84,0,0,0.8452,1.0,-,,
15,sat,13,0,2,0,0,0.8824,0.0,0.8824,0,0.8824,17.357,17.54,0,0.0,17.54,1,1,0.8452,1.0,-,[100.   0.  15.   7.   6.   0.   3.   0.   1.   0.  10.  92.  40.],[100.   0.  15.   7.   6.   0.   3.   0.   0.   0.  10.  92.  40.]
16,unknown,13,0,3,1,0,0.5098,0.0,0.5098,0.1176,0.6275,100.291,101.46,100.033,100.15,201.61,0,0,0.8452,1.0,-,,
