Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.24,0.0,0.24,0.12,0.36,100.111,100.53,100.039,100.11,200.64,0,0,0.8455,1.0,-,,
2,sat,1,0,1,0,0,0.28,0.0,0.28,0,0.28,98.527,98.89,0,0.0,98.89,1,1,0.8455,1.0,-,[60.  1. 15. 11.  6. 10.  5.  4.  1.  0. 10. 90.  0.],[60.  1. 15. 11.  6. 10.  5.  4.  0.  0. 10. 90.  0.]
3,unknown,1,0,2,1,0,0.52,0.0,0.52,0.0,0.52,100.119,100.35,100.009,100.07,200.42,0,0,0.8455,1.0,-,,
